7.500000e+00;5.000000e+00;8.750000e+00;3.750000e+00
8.750000e+00;3.750000e+00;0.000000e+00;0.000000e+00
1.000000e+00;5.000000e-01;1.000000e+00;5.000000e-01
5.000000e-01;1.000000e+00;1.000000e+00;5.000000e-01
7.500000e-01;7.500000e-01;1.000000e+00;5.000000e-01
8.750000e-01;3.750000e-01;0.000000e+00;0.000000e+00
3.125000e-01;1.875000e-01;3.125000e-01;1.875000e-01
1.783854e-01;3.294271e-01;0.000000e+00;0.000000e+00
8.906250e-01;4.843750e-01;8.906250e-01;4.843750e-01
7.031250e-01;4.218750e-01;7.031250e-01;4.218750e-01
6.138393e-01;3.214286e-01;6.138393e-01;3.214286e-01
8.906250e-01;4.843750e-01;6.138393e-01;3.214286e-01
7.052116e-01;3.301145e-01;7.052116e-01;3.301145e-01
6.138393e-01;3.214286e-01;7.052116e-01;3.301145e-01
5.971764e-01;7.560156e-01;0.000000e+00;0.000000e+00
1.000000e+00;6.250000e-01;1.000000e+00;6.250000e-01
7.500000e+00;5.000000e+00;0.000000e+00;0.000000e+00
7.031250e-01;4.218750e-01;8.906250e-01;4.843750e-01
